p10;p20;p30;p40;p50;p60;p70;p80;p90;uf_12;uf_13;uf_14;uf_15;uf_16;uf_17;uf_21;uf_22;uf_23;uf_24;uf_25;uf_26;uf_27;uf_28;uf_29;uf_31;uf_32;uf_33;uf_35;uf_41;uf_42;uf_43;uf_50;uf_51;uf_52;uf_53;sal_min;log_sal_min
-1,3862943611198908;-0,7444404749474955;-0,3746934494414109;-0,13353139262452274;-0,09982033528221113;0,0;0,2231435513142097;0,485507815781701;0,9650808960435873;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;724;-0,09982033528221113
-1,2864740258376797;-0,8810089177295151;-0,3822558751977967;-0,06564410444532065;0,0;0,0;0,29250467911171274;0,5853281510639121;1,0161110671563662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;724;0,0
-1,09861228866811;-0,5709295478356964;-0,5052854433903757;-0,3992345583575281;-0,1823215567939549;0,0;0,2231435513142097;0,5108256237659905;0,9162907318741542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;724;-0,5052854433903757
-0,8001757533184684;-0,5052854433903757;-0,45675840249571475;-0,34484048629172914;-0,1823215567939549;0,0;0,2231435513142097;0,5108256237659905;0,9162907318741542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;724;-0,5052854433903757
-0,6509722555092328;-0,5853281510639121;-0,485507815781701;-0,2825669717850108;-0,1670540846631665;0,0;0,14310084364067333;0,4307829160924541;0,9007865453381907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;724;-0,5853281510639121
-0,762140052046897;-0,6286086594223743;-0,4359243155928727;-0,35667494393873245;-0,2231435513142097;0,0;0,1823215567939549;0,38299225225610556;0,818310323513951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;724;-0,7284289947045854
-0,8362480242006187;-0,6286086594223743;-0,5108256237659905;-0,4054651081081646;-0,2231435513142097;0,0;0,1823215567939549;0,38299225225610556;0,7884573603642702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;724;-0,7284289947045854
-0,7284289947045854;-0,5679840376059389;-0,4054651081081646;-0,31015492830383984;-0,14310084364067333;0,0;0,1823215567939549;0,38299225225610556;0,7259370033829358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;724;-0,7284289947045854
-0,9162907318741551;-0,6931471805599454;-0,5108256237659905;-0,4054651081081646;-0,2231435513142097;0,0;0,1823215567939549;0,4700036292457357;0,8472978603872034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;724;-0,7284289947045854
-0,8109302162163292;-0,6230684790467595;-0,5040584493714073;-0,3001045924503387;-0,11778303565638382;0,0;0,16989903679539697;0,3930425881096067;0,7985076962177704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;724;-0,6230684790467595
